contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expirationDate,ticker,midPrice,ask_bid_spread,expiration,days_to_exp,T,spot,moneyness,log_moneyness,bs_price
AMZN260116P00255000,2025-06-04 19:40:50+00:00,255.0,49.3,48.0,48.45,0.0,0.0,264.0,335.0,0.2153398779296875,True,REGULAR,USD,put,2026-01-16,AMZN,48.225,0.45000000000000284,2026-01-16,205,0.5616438356164384,208.47000122070312,0.8175294165517769,-0.20146839330854677,42.93189617839744
AMZN260116P00260000,2025-06-23 14:11:36+00:00,260.0,51.7,51.85,52.8,4.8199997,10.2815695,1.0,28.0,0.2066729724121093,True,REGULAR,USD,put,2026-01-16,AMZN,52.325,0.9499999999999957,2026-01-16,205,0.5616438356164384,208.47000122070312,0.8018076970027044,-0.22088647916564824,47.01110120850967
AMZN260320C00175000,2025-06-23 13:40:22+00:00,175.0,47.6,47.55,47.95,-0.8500023,-1.7543907,41.0,949.0,0.4297542376708985,True,REGULAR,USD,call,2026-03-20,AMZN,47.75,0.4000000000000057,2026-03-20,268,0.7342465753424657,208.47000122070312,1.1912571498325892,0.17500917792636533,51.25902779693061
AMZN260320C00180000,2025-06-23 19:57:11+00:00,180.0,44.1,43.95,44.25,-1.300003,-2.8634427,13.0,1824.0,0.4180356048583984,True,REGULAR,USD,call,2026-03-20,AMZN,44.1,0.29999999999999716,2026-03-20,268,0.7342465753424657,208.47000122070312,1.1581666734483507,0.14683830095966902,47.5289543877405
AMZN260320C00185000,2025-06-23 18:08:55+00:00,185.0,41.7,40.5,40.8,-0.25,-0.59594756,25.0,911.0,0.4088804229736328,True,REGULAR,USD,call,2026-03-20,AMZN,40.65,0.29999999999999716,2026-03-20,268,0.7342465753424657,208.47000122070312,1.12686487146326,0.11943932677155457,44.02746210636194
AMZN260320C00190000,2025-06-23 19:25:55+00:00,190.0,37.9,37.15,37.5,-0.099998474,-0.26315388,73.0,1952.0,0.40039662109375,True,REGULAR,USD,call,2026-03-20,AMZN,37.325,0.3500000000000014,2026-03-20,268,0.7342465753424657,208.47000122070312,1.0972105327405428,0.09277107968939333,40.662780690906786
AMZN260320C00195000,2025-06-23 18:53:30+00:00,195.0,34.64,34.0,34.25,-0.45999908,-1.3105388,8.0,1916.0,0.3909667837524414,True,REGULAR,USD,call,2026-03-20,AMZN,34.125,0.25,2026-03-20,268,0.7342465753424657,208.47000122070312,1.069076929336939,0.06679559328613262,37.341182903967905
AMZN260320C00200000,2025-06-23 19:46:18+00:00,200.0,31.09,30.95,31.25,-0.87999916,-2.752578,16.0,4442.0,0.3834595346069336,True,REGULAR,USD,call,2026-03-20,AMZN,31.1,0.3000000000000007,2026-03-20,268,0.7342465753424657,208.47000122070312,1.0423500061035156,0.04147778530184271,34.251580767859465
AMZN260320C00205000,2025-06-23 15:21:12+00:00,205.0,28.45,28.1,28.4,-0.54999924,-1.8713822,6.0,1021.0,0.3762574581909179,True,REGULAR,USD,call,2026-03-20,AMZN,28.25,0.29999999999999716,2026-03-20,268,0.7342465753424657,208.47000122070312,1.0169268352229421,0.01678517271147131,31.300427629246073
AMZN260320C00210000,2025-06-23 19:59:51+00:00,210.0,25.55,25.45,25.65,-1.3500004,-5.0185885,135.0,3631.0,0.3685976226806641,False,REGULAR,USD,call,2026-03-20,AMZN,25.549999999999997,0.1999999999999993,2026-03-20,268,0.7342465753424657,208.47000122070312,0.9927142915271577,-0.0073123788675892604,28.440605056327712
AMZN260320C00215000,2025-06-23 18:27:50+00:00,215.0,23.47,22.9,23.15,-0.4300003,-1.7991645,13.0,1636.0,0.3625552026367187,False,REGULAR,USD,call,2026-03-20,AMZN,23.025,0.25,2026-03-20,268,0.7342465753424657,208.47000122070312,0.9696279126544332,-0.030842876277783357,25.820745825752326
AMZN260320C00220000,2025-06-23 18:27:09+00:00,220.0,21.17,20.6,20.75,-0.20000076,-0.93589497,23.0,2695.0,0.3559329544067382,False,REGULAR,USD,call,2026-03-20,AMZN,20.675,0.14999999999999858,2026-03-20,268,0.7342465753424657,208.47000122070312,0.9475909146395597,-0.05383239450248208,23.292392683640685
AMZN260320C00225000,2025-06-23 18:41:38+00:00,225.0,18.95,18.4,18.6,-0.29999924,-1.5584376,87.0,2215.0,0.3508670870971678,False,REGULAR,USD,call,2026-03-20,AMZN,18.5,0.20000000000000284,2026-03-20,268,0.7342465753424657,208.47000122070312,0.9265333387586806,-0.07630525035454065,21.009539369961445
