contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expirationDate,ticker
META250627C00800000,2025-06-23 19:59:44+00:00,800.0,0.02,0.01,0.02,-0.02,-50.0,265.0,1903,0.4023497265625,False,REGULAR,USD,call,2025-06-27,META
META250627C00805000,2025-06-23 15:31:22+00:00,805.0,0.02,0.0,0.03,-0.01,-33.333336,35.0,1,0.4335994140625,False,REGULAR,USD,call,2025-06-27,META
META250627C00810000,2025-06-23 19:20:23+00:00,810.0,0.01,0.0,0.01,-0.01,-50.0,195.0,527,0.4062559375,False,REGULAR,USD,call,2025-06-27,META
META250627C00820000,2025-06-23 13:32:54+00:00,820.0,0.01,0.0,0.01,0.0,0.0,98.0,537,0.437505625,False,REGULAR,USD,call,2025-06-27,META
META250627C00830000,2025-06-20 19:59:26+00:00,830.0,0.01,0.0,0.01,0.0,0.0,70.0,174,0.4687553125,False,REGULAR,USD,call,2025-06-27,META
META250627C00840000,2025-06-20 13:30:04+00:00,840.0,0.02,0.0,0.01,0.0,0.0,2.0,440,0.500005,False,REGULAR,USD,call,2025-06-27,META
META250627C00850000,2025-06-20 14:01:03+00:00,850.0,0.01,0.0,0.01,0.0,0.0,7.0,273,0.500005,False,REGULAR,USD,call,2025-06-27,META
META250627C00860000,2025-06-20 14:15:28+00:00,860.0,0.01,0.0,0.01,0.0,0.0,1.0,208,0.5312546875,False,REGULAR,USD,call,2025-06-27,META
META250627C00870000,2025-06-23 17:29:58+00:00,870.0,0.01,0.0,0.01,0.0,0.0,10.0,372,0.5625043750000001,False,REGULAR,USD,call,2025-06-27,META
META250627C00880000,2025-06-17 16:08:02+00:00,880.0,0.01,0.0,0.01,0.0,0.0,209.0,526,0.57812921875,False,REGULAR,USD,call,2025-06-27,META
META250627C00890000,2025-06-17 16:36:04+00:00,890.0,0.01,0.0,0.01,0.0,0.0,4.0,7,0.6093789062500001,False,REGULAR,USD,call,2025-06-27,META
META250627C00900000,2025-06-16 15:40:34+00:00,900.0,0.02,0.0,0.01,0.0,0.0,1.0,65,0.64062859375,False,REGULAR,USD,call,2025-06-27,META
META250627C00910000,2025-06-11 16:08:44+00:00,910.0,0.04,0.0,0.01,0.0,0.0,,7,0.6562534375000001,False,REGULAR,USD,call,2025-06-27,META
META250627C00920000,2025-06-11 14:03:56+00:00,920.0,0.01,0.0,0.01,0.0,0.0,2.0,15,0.6875031250000001,False,REGULAR,USD,call,2025-06-27,META
META250627C00930000,2025-06-23 19:47:57+00:00,930.0,0.01,0.0,0.01,0.0,0.0,2.0,70,0.7187528125,False,REGULAR,USD,call,2025-06-27,META
META250627P00300000,2025-06-03 14:54:01+00:00,300.0,0.01,0.0,0.01,0.0,0.0,,6,2.031254921875,False,REGULAR,USD,put,2025-06-27,META
META250627P00310000,2025-05-30 16:28:41+00:00,310.0,0.03,0.0,0.01,0.0,0.0,2.0,2,1.9375003125,False,REGULAR,USD,put,2025-06-27,META
META250627P00320000,2025-06-20 13:47:35+00:00,320.0,0.01,0.0,0.01,0.0,0.0,1.0,1,1.875000625,False,REGULAR,USD,put,2025-06-27,META
META250627P00340000,2025-06-02 16:05:46+00:00,340.0,0.03,0.0,0.01,0.0,0.0,4.0,10,1.75000125,False,REGULAR,USD,put,2025-06-27,META
META250627P00350000,2025-06-03 15:10:42+00:00,350.0,0.02,0.0,0.01,0.0,0.0,10.0,15,1.6875015625,False,REGULAR,USD,put,2025-06-27,META
META250627P00380000,2025-05-12 16:12:28+00:00,380.0,0.22,0.0,0.33,0.0,0.0,3.0,3,1.9882813085937499,False,REGULAR,USD,put,2025-06-27,META
META250627P00400000,2025-06-09 19:24:25+00:00,400.0,0.02,0.0,0.01,0.0,0.0,3.0,7,1.3750031249999999,False,REGULAR,USD,put,2025-06-27,META
META250627P00410000,2025-06-02 19:58:43+00:00,410.0,0.04,0.0,0.01,0.0,0.0,1.0,2,1.3125034374999998,False,REGULAR,USD,put,2025-06-27,META
META250627P00415000,2025-06-12 19:58:16+00:00,415.0,0.01,0.0,0.01,0.0,0.0,10.0,35,1.2812535937499998,False,REGULAR,USD,put,2025-06-27,META
META250627P00420000,2025-06-04 15:14:19+00:00,420.0,0.05,0.0,0.02,0.0,0.0,5.0,125,1.3125034374999998,False,REGULAR,USD,put,2025-06-27,META
META250627P00425000,2025-06-11 19:18:22+00:00,425.0,0.02,0.0,0.02,0.0,0.0,3.0,32,1.2812535937499998,False,REGULAR,USD,put,2025-06-27,META
META250627P00430000,2025-06-12 17:52:43+00:00,430.0,0.01,0.0,0.02,0.0,0.0,2.0,4,1.2500037499999999,False,REGULAR,USD,put,2025-06-27,META
META250627P00435000,2025-06-10 16:17:06+00:00,435.0,0.01,0.0,0.01,0.0,0.0,6.0,0,1.15625421875,False,REGULAR,USD,put,2025-06-27,META
META250627P00440000,2025-06-12 17:36:21+00:00,440.0,0.01,0.0,0.01,0.0,0.0,2.0,0,1.125004375,False,REGULAR,USD,put,2025-06-27,META
META250627P00445000,2025-06-12 17:47:02+00:00,445.0,0.01,0.0,0.02,0.0,0.0,7.0,18,1.171879140625,False,REGULAR,USD,put,2025-06-27,META
META250627P00450000,2025-06-23 19:28:14+00:00,450.0,0.01,0.0,0.02,0.0,0.0,5.0,572,1.140629296875,False,REGULAR,USD,put,2025-06-27,META
META250627P00455000,2025-06-20 19:01:42+00:00,455.0,0.01,0.0,0.01,0.0,0.0,2.0,62,1.0625046875000002,False,REGULAR,USD,put,2025-06-27,META
META250627P00460000,2025-06-20 13:41:31+00:00,460.0,0.01,0.0,0.02,0.0,0.0,3.0,32,1.09375453125,False,REGULAR,USD,put,2025-06-27,META
META250627P00465000,2025-06-16 17:47:54+00:00,465.0,0.01,0.0,0.01,0.0,0.0,2.0,16,1.000005,False,REGULAR,USD,put,2025-06-27,META
META250627P00470000,2025-06-20 13:41:24+00:00,470.0,0.01,0.0,0.01,0.0,0.0,3.0,54,0.98437515625,False,REGULAR,USD,put,2025-06-27,META
META250627P00475000,2025-06-20 13:56:11+00:00,475.0,0.01,0.0,0.01,0.0,0.0,21.0,47,0.9687503125,False,REGULAR,USD,put,2025-06-27,META
META250627P00480000,2025-06-23 15:25:25+00:00,480.0,0.01,0.0,0.01,0.0,0.0,1.0,46,0.937500625,False,REGULAR,USD,put,2025-06-27,META
META250627P00485000,2025-06-20 14:15:05+00:00,485.0,0.01,0.0,0.01,0.0,0.0,1.0,40,0.9062509375,False,REGULAR,USD,put,2025-06-27,META
META250627P00490000,2025-06-20 19:37:15+00:00,490.0,0.01,0.0,0.01,0.0,0.0,1.0,21,0.87500125,False,REGULAR,USD,put,2025-06-27,META
META250627P00495000,2025-06-17 15:06:13+00:00,495.0,0.01,0.0,0.01,0.0,0.0,6.0,113,0.85937640625,False,REGULAR,USD,put,2025-06-27,META
META250627P00500000,2025-06-23 17:22:49+00:00,500.0,0.01,0.0,0.01,-0.03,-75.0,174.0,261,0.8437515624999999,False,REGULAR,USD,put,2025-06-27,META
META250627P00505000,2025-06-23 13:55:46+00:00,505.0,0.01,0.0,0.02,-0.01,-50.0,90.0,72,0.85937640625,False,REGULAR,USD,put,2025-06-27,META
META250627P00510000,2025-06-23 14:58:19+00:00,510.0,0.01,0.0,0.02,-0.01,-50.0,21.0,50,0.8281267187499999,False,REGULAR,USD,put,2025-06-27,META
META250627P00515000,2025-06-23 18:00:41+00:00,515.0,0.01,0.0,0.02,-0.01,-50.0,11.0,30,0.8125018749999999,False,REGULAR,USD,put,2025-06-27,META
META250627P00520000,2025-06-23 17:51:06+00:00,520.0,0.01,0.0,0.31,0.0,0.0,65.0,73,1.0185595947265624,False,REGULAR,USD,put,2025-06-27,META
META250627P00525000,2025-06-23 17:37:16+00:00,525.0,0.01,0.0,0.31,-0.01,-50.0,50.0,144,0.9882813671875,False,REGULAR,USD,put,2025-06-27,META
META250627P00530000,2025-06-20 17:12:00+00:00,530.0,0.01,0.0,0.31,-0.02,-66.66667,2.0,103,0.9589847851562499,False,REGULAR,USD,put,2025-06-27,META
META250627P00535000,2025-06-23 17:28:00+00:00,535.0,0.01,0.0,0.31,-0.03,-75.0,205.0,146,0.929688203125,False,REGULAR,USD,put,2025-06-27,META
META250627P00540000,2025-06-23 14:01:37+00:00,540.0,0.02,0.0,0.01,-0.030000001,-60.0,43.0,196,0.6562534375000001,False,REGULAR,USD,put,2025-06-27,META
META250627P00545000,2025-06-23 19:21:54+00:00,545.0,0.01,0.0,0.31,-0.04,-80.00001,31.0,74,0.8710950390625,False,REGULAR,USD,put,2025-06-27,META
META250627P00550000,2025-06-23 19:46:41+00:00,550.0,0.02,0.01,0.31,-0.04,-66.66667,78.0,424,0.8457046679687499,False,REGULAR,USD,put,2025-06-27,META
META250627P00555000,2025-06-23 17:02:22+00:00,555.0,0.03,0.0,0.31,-0.03,-50.0,31.0,422,0.81445498046875,False,REGULAR,USD,put,2025-06-27,META
META250627P00560000,2025-06-23 19:05:46+00:00,560.0,0.01,0.01,0.31,-0.07,-87.5,138.0,288,0.789064609375,False,REGULAR,USD,put,2025-06-27,META
META250627P00565000,2025-06-23 14:36:50+00:00,565.0,0.02,0.0,0.02,-0.08,-80.00001,22.0,230,0.57812921875,False,REGULAR,USD,put,2025-06-27,META
META250627P00570000,2025-06-23 17:57:14+00:00,570.0,0.03,0.01,0.03,-0.08,-72.72727,243.0,289,0.5898478515625001,False,REGULAR,USD,put,2025-06-27,META
