contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expirationDate,ticker
AMZN250627P00170000,2025-06-23 19:49:26+00:00,170.0,0.01,0.01,0.02,-0.02,-66.66667,302.0,1814,0.648441015625,False,REGULAR,USD,put,2025-06-27,AMZN
AMZN250627P00175000,2025-06-23 19:42:57+00:00,175.0,0.02,0.01,0.02,-0.02,-50.0,144.0,2630,0.5625043750000001,False,REGULAR,USD,put,2025-06-27,AMZN
AMZN250627P00180000,2025-06-23 19:45:37+00:00,180.0,0.03,0.02,0.03,-0.020000001,-50.000008,702.0,1741,0.507817421875,False,REGULAR,USD,put,2025-06-27,AMZN
AMZN250627P00185000,2025-06-23 19:41:08+00:00,185.0,0.04,0.04,0.05,-0.030000001,-42.857143,261.0,1345,0.46094289062500005,False,REGULAR,USD,put,2025-06-27,AMZN
AMZN250627P00187500,2025-06-23 19:43:43+00:00,187.5,0.06,0.05,0.06,-0.040000003,-40.000004,348.0,308,0.42578699218750005,False,REGULAR,USD,put,2025-06-27,AMZN
AMZN250627P00190000,2025-06-23 19:56:04+00:00,190.0,0.07,0.07,0.08,-0.04,-36.363636,3308.0,5756,0.397466962890625,False,REGULAR,USD,put,2025-06-27,AMZN
AMZN250627P00192500,2025-06-23 19:52:02+00:00,192.5,0.09,0.09,0.1,-0.09,-49.999996,782.0,1281,0.3632876171875,False,REGULAR,USD,put,2025-06-27,AMZN
AMZN250627P00195000,2025-06-23 19:58:34+00:00,195.0,0.14,0.13,0.15,-0.09,-39.130436,2742.0,2300,0.33789724609375,False,REGULAR,USD,put,2025-06-27,AMZN
AMZN250627P00197500,2025-06-23 19:58:46+00:00,197.5,0.21,0.21,0.23,-0.15000002,-41.66667,2073.0,2010,0.3129951513671875,False,REGULAR,USD,put,2025-06-27,AMZN
AMZN250627P00200000,2025-06-23 19:58:01+00:00,200.0,0.36,0.36,0.37,-0.21999997,-37.93103,6947.0,10307,0.28955788574218744,False,REGULAR,USD,put,2025-06-27,AMZN
AMZN250627P00202500,2025-06-23 19:59:52+00:00,202.5,0.66,0.64,0.67,-0.20999998,-24.137928,7334.0,3688,0.27637442382812494,False,REGULAR,USD,put,2025-06-27,AMZN
AMZN250627P00205000,2025-06-23 19:59:16+00:00,205.0,1.17,1.15,1.18,-0.20000005,-15.151518,8867.0,5569,0.26392337646484376,False,REGULAR,USD,put,2025-06-27,AMZN
AMZN250627P00207500,2025-06-23 19:59:58+00:00,207.5,1.99,1.97,2.01,-0.119999886,-5.6871986,13419.0,4334,0.25391371093750004,False,REGULAR,USD,put,2025-06-27,AMZN
AMZN250627P00210000,2025-06-23 19:58:51+00:00,210.0,3.18,3.15,3.3,-0.059999943,-1.85185,9715.0,5759,0.25171646728515623,True,REGULAR,USD,put,2025-06-27,AMZN
AMZN250627P00212500,2025-06-23 19:59:23+00:00,212.5,4.78,4.75,4.95,0.3800001,8.636366,1615.0,3499,0.24634542724609376,True,REGULAR,USD,put,2025-06-27,AMZN
AMZN250627P00215000,2025-06-23 19:57:30+00:00,215.0,6.91,6.75,7.0,0.71000004,11.470113,479.0,4326,0.25098405273437496,True,REGULAR,USD,put,2025-06-27,AMZN
AMZN250627P00217500,2025-06-23 19:21:39+00:00,217.5,8.73,9.05,9.35,0.32999992,3.9285707,179.0,1542,0.2797923583984374,True,REGULAR,USD,put,2025-06-27,AMZN
AMZN250627P00220000,2025-06-23 19:16:57+00:00,220.0,11.17,11.45,11.8,0.77000046,7.403851,73.0,1725,0.3198310205078124,True,REGULAR,USD,put,2025-06-27,AMZN
AMZN250627P00222500,2025-06-23 19:54:50+00:00,222.5,13.95,13.95,14.35,1.9499998,16.249998,56.0,302,0.38477177734374995,True,REGULAR,USD,put,2025-06-27,AMZN
AMZN250627P00225000,2025-06-23 19:11:52+00:00,225.0,15.75,16.45,16.7,0.32999992,2.1400774,61.0,765,0.3803772900390625,True,REGULAR,USD,put,2025-06-27,AMZN
AMZN250627P00227500,2025-06-23 19:32:36+00:00,227.5,18.9,18.85,19.3,2.2700005,13.650034,52.0,51,0.4643608251953125,True,REGULAR,USD,put,2025-06-27,AMZN
AMZN250627P00230000,2025-06-20 13:47:30+00:00,230.0,16.0,20.95,22.05,0.0,0.0,2.0,5,0.5883830224609375,True,REGULAR,USD,put,2025-06-27,AMZN
AMZN250627P00232500,2025-06-18 16:04:59+00:00,232.5,16.48,23.4,24.75,0.0,0.0,52.0,0,0.6889679541015626,True,REGULAR,USD,put,2025-06-27,AMZN
AMZN250627P00235000,2025-06-23 19:09:14+00:00,235.0,25.67,26.05,26.95,1.2800007,5.248055,3.0,5,0.6518589501953126,True,REGULAR,USD,put,2025-06-27,AMZN
AMZN250627P00237500,2025-06-18 19:50:00+00:00,237.5,22.6,28.65,29.4,0.0,0.0,,1,0.6777375976562501,True,REGULAR,USD,put,2025-06-27,AMZN
AMZN250627P00240000,2025-05-16 19:33:38+00:00,240.0,34.78,26.9,28.35,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,put,2025-06-27,AMZN
